Year,annual_nondur_index,annual_dur_index,normalized_durables_index
1956,29.933,36.083,1.2055
1957,30.867,37.25,1.2068
1958,31.658,37.808,1.1943
1959,31.558,38.35,1.2152
1960,31.942,38.142,1.1941
1961,32.242,38.142,1.183
1962,32.5,38.517,1.1851
1963,32.908,38.617,1.1735
1964,33.242,38.942,1.1715
1965,33.842,38.8,1.1465
1966,35.075,38.833,1.1071
1967,35.758,39.45,1.1032
1968,37.142,40.633,1.094
1969,38.925,42.208,1.0843
1970,40.783,44.075,1.0807
1971,42.092,45.925,1.0911
1972,43.483,46.917,1.079
1973,47.483,48.067,1.0123
1974,53.975,51.5,0.9541
1975,58.333,57.375,0.9836
1976,60.483,60.875,1.0065
1977,63.958,64.375,1.0065
1978,68.658,68.575,0.9988
1979,77.183,75.367,0.9765
1980,87.583,82.975,0.9474
1981,95.192,89.6,0.9413
1982,97.825,95.083,0.972
1983,99.725,99.8,1.0008
1984,102.442,105.1,1.0259
1985,104.817,106.758,1.0185
1986,103.508,106.575,1.0296
1987,107.475,108.192,1.0067
1988,111.825,110.367,0.987
1989,118.2,112.15,0.9488
1990,126.017,113.417,0.9
1991,130.317,116,0.8901
1992,132.758,118.575,0.8932
1993,135.058,121.267,0.8979
1994,136.817,124.792,0.9121
1995,139.342,127.992,0.9185
1996,143.517,129.358,0.9013
1997,146.35,128.725,0.8796
1998,146.942,127.558,0.8681
1999,151.183,125.967,0.8332
2000,158.15,125.375,0.7928
2001,160.558,124.617,0.7761
2002,161.058,121.417,0.7539
2003,165.267,117.492,0.7109
2004,172.158,114.767,0.6666
2005,180.208,115.25,0.6395
2006,186.733,114.467,0.613
2007,193.468,112.473,0.5814
2008,205.901,110.877,0.5385
2009,198.548,109.859,0.5533
2010,205.272,111.324,0.5423
2011,219.049,112.557,0.5138
2012,224.621,112.79,0.5021
2013,225.271,111.889,0.4967
2014,226.662,110.349,0.4868
2015,217.624,109.116,0.5014
2016,214.973,107.279,0.499
2017,219.62,105.283,0.4794
2018,225.843,104.42,0.4624
2019,226.642,104.781,0.4623
2020,224.974,105.723,0.4699
2021,239.982,116.923,0.4872
2022,268.138,128.077,0.4777
2023,274.459,126.415,0.4606
2024,276.786,122.831,0.4438
2025,279.635,123.349,0.4411
